model,rules,mean,p95,p99,max
Flattened 5D direct lookup,4,990,1056,1170,1822412
Flattened 5D direct lookup,10,1016,1085,1294,1632226
Flattened 5D direct lookup,50,970,1046,1194,356457
Flattened 5D direct lookup,100,1003,1056,1194,2057129
Flattened 5D direct lookup,200,1003,1046,1165,1624043
Flattened 5D direct lookup,500,984,1026,1199,226455
H-NGAC 3D,4,70,74,84,123886
H-NGAC 3D,10,75,84,94,76197
H-NGAC 3D,50,115,159,198,470460
H-NGAC 3D,100,151,208,243,719006
H-NGAC 3D,200,211,312,337,322894
H-NGAC 3D,500,390,649,689,156151
H-NGAC 4D,4,74,79,84,13312
H-NGAC 4D,10,78,84,99,242196
H-NGAC 4D,50,120,188,228,83359
H-NGAC 4D,100,194,307,352,135365
H-NGAC 4D,200,292,481,565,358549
H-NGAC 4D,500,582,1051,1229,69625
H-NGAC 5D,4,80,79,84,1480992
H-NGAC 5D,10,82,94,114,9481
H-NGAC 5D,50,130,173,223,584112
H-NGAC 5D,100,221,312,352,135181
H-NGAC 5D,200,360,525,585,1761494
H-NGAC 5D,500,685,1076,1239,85396
NGAC-DAG traversal,4,608,694,783,430211
NGAC-DAG traversal,10,638,729,833,835418
NGAC-DAG traversal,50,636,738,996,589172
NGAC-DAG traversal,100,629,724,843,1275833
NGAC-DAG traversal,200,636,734,838,1882694
NGAC-DAG traversal,500,1032,1284,1527,210605
RBAC hash map,4,97,94,99,1830218
RBAC hash map,10,87,94,109,19384
RBAC hash map,50,93,94,109,1131652
RBAC hash map,100,91,104,109,621700
RBAC hash map,200,89,94,104,282703
RBAC hash map,500,100,119,139,114063
